product_id,name,category,brand,price,rating,num_reviews,description,in_stock
P0001,Apple Smartphone 328,Smartphones,Apple,225.01,4.4,389,"Smartphone with 5G, Face ID",True
P0002,Xiaomi Smartphone 323,Smartphones,Xiaomi,621.92,3.9,111,"Smartphone with 5G, Face ID",False
P0003,Samsung Smartphone 990,Smartphones,Samsung,649.21,4.1,226,"Smartphone with Dual Camera, Face ID",True
P0004,Google Smartphone 444,Smartphones,Google,355.48,4.5,59,"Smartphone with 5G, Dual Camera",True
P0005,Google Smartphone 847,Smartphones,Google,803.73,4.6,292,"Smartphone with 5G, Dual Camera, Wireless Charging",True
P0006,Xiaomi Smartphone 296,Smartphones,Xiaomi,1085.45,4.3,126,"Smartphone with 5G, Face ID",True
P0007,Apple Smartphone 489,Smartphones,Apple,1055.32,4.9,93,"Smartphone with Wireless Charging, Face ID, Dual Camera",True
P0008,Google Smartphone 799,Smartphones,Google,409.51,4.1,383,"Smartphone with Dual Camera, Face ID",True
P0009,Samsung Smartphone 755,Smartphones,Samsung,662.26,4.1,127,"Smartphone with Face ID, 5G",True
P0010,Google Smartphone 680,Smartphones,Google,601.16,3.9,212,"Smartphone with Dual Camera, Face ID, Wireless Charging",False
P0011,Samsung Smartphone 674,Smartphones,Samsung,464.88,4.0,195,"Smartphone with Wireless Charging, Face ID, Dual Camera",True
P0012,Samsung Smartphone 148,Smartphones,Samsung,709.53,4.2,91,"Smartphone with Dual Camera, Face ID",False
P0013,Xiaomi Smartphone 579,Smartphones,Xiaomi,263.53,4.1,359,"Smartphone with 5G, Face ID, Wireless Charging",True
P0014,Google Smartphone 564,Smartphones,Google,311.55,4.2,400,"Smartphone with Face ID, Wireless Charging",True
P0015,Xiaomi Smartphone 405,Smartphones,Xiaomi,1112.63,4.6,400,"Smartphone with Dual Camera, Wireless Charging",True
P0016,Xiaomi Smartphone 100,Smartphones,Xiaomi,1153.5,4.7,485,"Smartphone with Wireless Charging, 5G, Face ID",True
P0017,Google Smartphone 680,Smartphones,Google,439.45,4.0,258,"Smartphone with 5G, Face ID",True
P0018,Xiaomi Smartphone 586,Smartphones,Xiaomi,965.83,4.2,456,"Smartphone with Face ID, Wireless Charging",False
P0019,Samsung Smartphone 806,Smartphones,Samsung,1128.91,4.6,353,"Smartphone with Face ID, Dual Camera",True
P0020,OnePlus Smartphone 353,Smartphones,OnePlus,1099.61,4.4,20,"Smartphone with 5G, Dual Camera",True
P0021,Xiaomi Smartphone 746,Smartphones,Xiaomi,420.22,3.9,473,"Smartphone with Dual Camera, 5G",True
P0022,Google Smartphone 785,Smartphones,Google,270.86,4.0,380,"Smartphone with Dual Camera, Face ID, 5G",False
P0023,Samsung Smartphone 294,Smartphones,Samsung,984.62,4.6,230,"Smartphone with 5G, Face ID",True
P0024,OnePlus Smartphone 155,Smartphones,OnePlus,611.1,4.4,382,"Smartphone with 5G, Dual Camera",True
P0025,Apple Smartphone 559,Smartphones,Apple,448.66,4.3,152,"Smartphone with Wireless Charging, 5G",False
P0026,Samsung Smartphone 927,Smartphones,Samsung,1074.49,4.1,286,"Smartphone with 5G, Face ID",True
P0027,Apple Smartphone 270,Smartphones,Apple,1126.37,4.9,452,"Smartphone with Wireless Charging, Dual Camera, 5G",False
P0028,Apple Smartphone 499,Smartphones,Apple,364.64,4.2,366,"Smartphone with Wireless Charging, Dual Camera, Face ID",False
P0029,Samsung Smartphone 159,Smartphones,Samsung,389.9,4.0,35,"Smartphone with Face ID, 5G",False
P0030,Xiaomi Smartphone 158,Smartphones,Xiaomi,1119.39,4.4,314,"Smartphone with Dual Camera, 5G",True
P0031,Samsung Smartphone 683,Smartphones,Samsung,603.78,4.5,51,"Smartphone with 5G, Face ID",False
P0032,Xiaomi Smartphone 367,Smartphones,Xiaomi,765.23,4.3,145,"Smartphone with Face ID, 5G",False
P0033,Samsung Smartphone 423,Smartphones,Samsung,871.69,4.3,328,"Smartphone with 5G, Dual Camera",True
P0034,Apple Smartphone 235,Smartphones,Apple,737.63,4.7,155,"Smartphone with 5G, Wireless Charging, Dual Camera",True
