user_id,age,gender,location,signup_date,preferred_brands,spending_power,avg_purchase_value,total_purchases
U00001,40,M,San Diego,2023-08-05,HP,high,1033.32,6
U00002,33,M,San Jose,2023-10-23,"Samsung,HP,Apple",medium,279.38,6
U00003,37,M,Phoenix,2025-01-13,Dell,medium,210.6,8
U00004,18,M,Los Angeles,2025-06-06,"Dell,Sony",low,225.04,5
U00005,27,M,Houston,2024-08-18,"Dell,Apple",medium,505.92,5
U00006,46,Other,New York,2024-09-20,Sony,high,736.29,13
U00007,22,F,San Antonio,2024-11-18,"Apple,Samsung",low,60.22,7
U00008,18,M,Philadelphia,2024-12-23,"Dell,Sony",low,277.12,7
U00009,32,M,San Antonio,2025-01-20,"Dell,Sony",medium,400.57,6
U00010,27,M,Los Angeles,2023-09-12,HP,medium,662.28,12
U00011,18,M,Philadelphia,2024-07-24,"Sony,HP,Apple",low,212.56,7
U00012,47,M,San Jose,2024-06-30,Apple,high,456.58,12
U00013,30,Other,San Jose,2025-03-27,HP,medium,781.0,5
U00014,18,Other,Houston,2025-01-12,"Dell,Apple,HP",low,285.45,10
U00015,22,Other,Philadelphia,2024-09-23,"Dell,Samsung,Sony",low,230.19,4
U00016,23,M,Chicago,2025-01-13,"HP,Sony",low,272.9,9
U00017,51,Other,Philadelphia,2024-07-19,"Apple,Dell",high,381.25,6
U00018,18,F,Dallas,2024-02-29,Samsung,low,199.79,6
U00019,23,Other,Chicago,2024-10-05,HP,low,65.2,9
U00020,53,Other,Houston,2024-06-16,"HP,Apple",high,498.62,11
U00021,26,Other,San Antonio,2023-12-31,"Dell,Sony",medium,324.15,4
U00022,37,M,Chicago,2023-12-21,HP,medium,618.03,3
U00023,47,Other,San Diego,2024-02-29,"HP,Sony,Samsung",high,1322.97,9
U00024,50,F,Phoenix,2024-01-10,Samsung,high,568.72,11
U00025,23,Other,Houston,2024-10-03,Samsung,low,285.51,7
U00026,46,F,Chicago,2024-10-25,Samsung,high,1487.44,14
U00027,35,M,Dallas,2025-04-01,Sony,medium,579.61,18
U00028,21,F,Philadelphia,2025-05-04,"HP,Sony,Dell",low,83.4,5
U00029,30,Other,Phoenix,2024-08-30,Apple,medium,694.36,6
U00030,35,M,Phoenix,2025-01-29,"Apple,HP",medium,633.56,8
U00031,47,Other,San Antonio,2023-09-28,"HP,Samsung",high,1280.22,3
U00032,27,M,Philadelphia,2024-10-26,HP,medium,577.88,10
U00033,60,F,Chicago,2024-04-28,Dell,high,742.37,5
U00034,47,F,Los Angeles,2024-03-08,Dell,high,522.03,5
U00035,18,M,Houston,2023-12-23,"Samsung,Sony",low,55.26,6
U00036,22,M,Chicago,2024-06-20,"HP,Samsung,Apple",low,85.88,7
U00037,42,F,Houston,2024-04-19,"Dell,Apple,Sony",high,932.13,10
U00038,36,Other,New York,2023-11-19,Dell,medium,430.39,2
U00039,29,M,New York,2023-10-08,Samsung,medium,349.01,5
U00040,37,M,Phoenix,2025-03-04,"HP,Apple,Dell",medium,774.57,13
U00041,53,M,Dallas,2024-08-16,"Apple,Samsung,HP",high,876.51,8
U00042,29,Other,San Diego,2025-02-11,"Sony,Dell",medium,292.71,10
U00043,44,M,Dallas,2023-08-20,"HP,Apple",high,325.45,7
U00044,43,M,Los Angeles,2024-01-18,"Apple,Dell",high,470.2,5
U00045,29,M,New York,2024-12-08,"Dell,Samsung",medium,411.99,10
U00046,37,F,Houston,2023-08-28,"Apple,Dell",medium,301.74,7
U00047,34,M,Houston,2025-04-15,"Sony,Apple",medium,569.42,5
U00048,31,M,Philadelphia,2025-05-03,HP,medium,290.66,6
U00049,35,F,Dallas,2024-08-20,"Samsung,Dell,Apple",medium,735.87,11
U00050,46,Other,Phoenix,2023-10-28,"Sony,Apple",high,625.31,9
U00051,18,F,Philadelphia,2024-10-30,"Apple,HP,Dell",low,244.45,12
U00052,39,M,Philadelphia,2025-02-27,"Dell,HP",medium,688.79,12
U00053,38,M,San Jose,2024-05-17,"Sony,Samsung,Apple",medium,393.83,13
U00054,38,M,Chicago,2024-06-29,"Sony,Dell",medium,454.3,11
U00055,52,Other,San Antonio,2023-11-20,"Sony,Samsung,HP",high,1405.93,3
U00056,45,F,San Antonio,2024-01-13,"HP,Dell",high,938.97,13
U00057,31,M,San Antonio,2025-05-04,"Dell,Samsung,Sony",medium,252.35,6
U00058,18,F,New York,2025-01-01,Sony,low,189.59,4
U00059,43,M,Los Angeles,2025-05-28,"Sony,Samsung",high,653.64,5
U00060,31,M,Dallas,2024-05-23,Samsung,medium,696.69,4
U00061,28,M,Chicago,2025-03-30,"Samsung,Dell,Sony",medium,215.81,8
U00062,20,F,Philadelphia,2025-06-03,"Apple,HP,Samsung",low,259.36,8
U00063,54,M,New York,2025-02-28,"Samsung,Apple",high,594.05,6
U00064,32,M,San Jose,2024-05-28,Samsung,medium,481.86,5
U00065,22,M,Dallas,2023-08-13,"Dell,HP",low,230.64,8
U00066,27,F,New York,2024-10-08,Samsung,medium,236.0,8
U00067,35,Other,New York,2023-11-18,HP,medium,296.21,4
U00068,36,F,San Antonio,2023-09-01,"HP,Sony",medium,751.49,6
U00069,39,Other,Phoenix,2023-08-02,Dell,medium,758.87,10
U00070,33,F,Los Angeles,2024-02-10,"Samsung,HP",medium,440.24,7
U00071,34,M,Houston,2024-06-22,HP,medium,563.05,4
U00072,20,M,San Diego,2024-03-27,"Dell,HP",low,91.21,13
U00073,37,F,San Antonio,2025-01-10,"Apple,HP",medium,246.69,7
U00074,36,Other,Philadelphia,2025-06-30,Sony,medium,297.66,10
U00075,18,M,Los Angeles,2024-12-24,"Apple,Sony,HP",low,187.92,11
U00076,30,Other,New York,2024-11-24,"Apple,HP",medium,538.24,8
U00077,53,F,New York,2025-06-09,"Apple,Sony",high,310.17,8
U00078,39,F,Phoenix,2024-06-16,"Samsung,Sony,HP",medium,635.41,10
U00079,24,M,Los Angeles,2024-08-23,"HP,Apple",low,175.54,8
U00080,18,M,New York,2023-12-05,"Dell,Apple",low,122.53,11
U00081,35,M,San Diego,2025-05-09,"Apple,Samsung,HP",medium,684.49,5
U00082,48,Other,Chicago,2025-02-14,"HP,Sony,Samsung",high,1242.42,9
U00083,32,F,Phoenix,2024-07-25,"Dell,Apple,Sony",medium,664.51,6
U00084,31,F,Houston,2024-12-27,"HP,Apple,Dell",medium,540.14,7
U00085,26,F,Los Angeles,2025-07-13,Sony,medium,528.28,5
U00086,36,M,San Diego,2025-04-23,"Sony,Samsung",medium,760.43,8
U00087,30,M,Los Angeles,2024-10-15,"Sony,HP,Apple",medium,242.68,7
U00088,30,Other,San Diego,2024-11-06,"Sony,Dell",medium,590.18,6
U00089,36,M,Los Angeles,2023-12-24,"Apple,Sony",medium,715.4,8
